,age,body_type,drinks,drugs,height,sex,smokes,diet_anything,diet_halal,diet_kosher,diet_other,diet_vegan,diet_vegetarian
0,22,2,1,0,75.0,1,1,True,False,False,False,False,False
1,35,1,2,1,70.0,1,0,False,False,False,True,False,False
2,38,1,1,0,68.0,1,0,True,False,False,False,False,False
3,23,1,1,0,71.0,1,0,False,False,False,False,False,True
4,29,0,1,0,66.0,1,0,True,False,False,False,False,False
5,29,1,1,0,67.0,1,0,True,False,False,False,False,False
6,32,0,1,0,65.0,0,0,True,False,False,False,False,False
7,31,1,1,0,65.0,0,0,True,False,False,False,False,False
8,24,0,1,0,67.0,0,1,True,False,False,False,False,False
9,37,0,0,0,65.0,1,0,True,False,False,False,False,False
10,35,1,1,0,70.0,1,0,True,False,False,False,False,False
11,28,1,1,0,72.0,1,0,True,False,False,False,False,False
12,24,1,2,0,72.0,1,0,True,False,False,False,False,False
13,30,1,1,0,66.0,0,0,True,False,False,False,False,False
14,29,1,1,0,62.0,0,0,True,False,False,False,False,False
15,39,0,1,0,65.0,0,0,True,False,False,False,False,False
16,33,0,1,0,70.0,1,1,True,False,False,False,False,False
17,26,1,1,0,64.0,0,0,True,False,False,False,False,False
18,31,1,1,0,71.0,1,0,False,False,False,False,False,True
19,33,0,1,0,72.0,1,0,True,False,False,False,False,False
20,27,1,1,0,67.0,0,0,True,False,False,False,False,False
21,22,0,1,0,67.0,0,0,True,False,False,False,False,False
22,30,0,1,0,69.0,1,0,True,False,False,False,False,False
23,30,1,0,0,71.0,1,0,False,False,False,False,True,False
24,33,1,1,1,73.0,1,1,True,False,False,False,False,False
25,28,0,1,0,70.0,1,0,True,False,False,False,False,False
26,22,0,1,0,72.0,1,1,True,False,False,False,False,False
27,22,1,1,0,67.0,1,0,True,False,False,False,False,False
28,30,0,1,0,74.0,1,0,True,False,False,False,False,False
29,32,0,1,1,68.0,1,0,True,False,False,False,False,False
30,27,1,1,0,64.0,0,1,True,False,False,False,False,False
31,27,0,1,0,72.0,1,0,True,False,False,False,False,False
32,38,1,1,0,67.0,0,0,True,False,False,False,False,False
33,20,1,1,0,60.0,0,0,False,False,False,False,False,True
34,27,1,1,0,69.0,1,1,True,False,False,False,False,False
35,26,0,1,0,69.0,1,0,True,False,False,False,False,False
36,32,0,1,0,69.0,1,1,True,False,False,False,False,False
37,25,0,1,0,69.0,1,0,True,False,False,False,False,False
38,27,2,1,0,63.0,0,0,True,False,False,False,False,False
39,35,0,1,0,74.0,1,0,True,False,False,False,False,False
40,30,1,2,0,76.0,1,0,True,False,False,False,False,False
41,35,0,1,0,72.0,1,0,True,False,False,False,False,False
42,30,1,2,1,75.0,1,0,True,False,False,False,False,False
43,40,0,1,0,71.0,1,0,True,False,False,False,False,False
44,29,2,1,1,66.0,0,0,True,False,False,False,False,False
45,27,1,1,0,69.0,1,0,True,False,False,False,False,False
46,27,0,1,1,73.0,1,0,True,False,False,False,False,False
47,28,1,2,1,70.0,1,0,True,False,False,False,False,False
48,31,1,1,1,67.0,0,0,True,False,False,False,False,False
49,26,0,1,0,66.0,0,0,True,False,False,False,False,False
50,33,0,2,1,66.0,0,0,True,False,False,False,False,False
51,38,0,1,0,65.0,0,0,True,False,False,False,False,False
52,31,1,1,0,69.0,1,0,True,False,False,False,False,False
53,36,0,1,0,69.0,1,0,True,False,False,False,False,False
54,33,0,1,0,69.0,1,0,True,False,False,False,False,False
55,33,0,1,0,70.0,1,0,True,False,False,False,False,False
56,26,0,1,1,71.0,1,0,True,False,False,False,False,False
57,21,1,1,0,72.0,1,1,True,False,False,False,False,False
58,22,0,1,1,70.0,1,1,True,False,False,False,False,False
59,31,1,1,0,71.0,1,1,True,False,False,False,False,False
60,31,0,1,0,67.0,1,0,True,False,False,False,False,False
61,35,1,1,0,75.0,1,0,False,False,False,False,False,True
62,31,1,1,1,70.0,1,1,True,False,False,False,False,False
63,28,2,1,0,67.0,0,1,False,False,False,False,False,True
64,28,0,1,0,72.0,1,0,True,False,False,False,False,False
65,29,0,1,0,68.0,1,0,False,False,False,False,False,True
66,22,0,1,0,65.0,1,0,True,False,False,False,False,False
67,30,1,1,1,66.0,0,1,True,False,False,False,False,False
68,31,1,1,0,69.0,0,1,True,False,False,False,False,False
69,29,1,1,1,76.0,1,0,True,False,False,False,False,False
70,25,2,1,0,62.0,0,0,True,False,False,False,False,False
71,33,0,1,0,67.0,0,0,True,False,False,False,False,False
72,35,0,1,1,73.0,1,0,True,False,False,False,False,False
73,31,2,1,0,61.0,0,0,True,False,False,False,False,False
74,28,0,1,2,72.0,1,0,True,False,False,False,False,False
75,29,2,1,2,67.0,0,0,False,False,False,False,False,True
76,26,0,2,1,72.0,1,0,True,False,False,False,False,False
77,25,2,1,0,65.0,0,0,True,False,False,False,False,False
78,34,2,1,0,67.0,0,0,True,False,False,False,False,False
79,21,0,1,0,71.0,1,0,True,False,False,False,False,False
80,28,1,2,0,67.0,0,0,True,False,False,False,False,False
81,31,1,1,0,69.0,1,0,True,False,False,False,False,False
82,34,0,1,0,69.0,1,0,True,False,False,False,False,False
83,32,1,1,0,64.0,0,0,True,False,False,False,False,False
84,30,0,1,0,73.0,1,0,True,False,False,False,False,False
85,28,1,1,1,68.0,1,0,True,False,False,False,False,False
86,40,0,1,0,66.0,0,0,True,False,False,False,False,False
87,27,2,2,0,61.0,0,0,True,False,False,False,False,False
88,43,2,1,0,71.0,1,0,True,False,False,False,False,False
89,37,1,1,0,64.0,0,0,True,False,False,False,False,False
90,24,1,1,0,74.0,1,0,True,False,False,False,False,False
91,29,0,1,1,74.0,1,0,True,False,False,False,False,False
92,29,2,1,1,67.0,0,0,True,False,False,False,False,False
93,28,0,1,0,69.0,1,0,False,False,False,False,False,True
94,29,0,1,1,67.0,1,0,True,False,False,False,False,False
95,25,0,1,0,78.0,1,0,True,False,False,False,False,False
96,34,1,2,0,75.0,1,0,False,False,False,True,False,False
97,39,0,1,0,70.0,1,0,True,False,False,False,False,False
98,31,2,1,1,66.0,0,0,True,False,False,False,False,False
99,46,1,1,0,72.0,1,0,True,False,False,False,False,False
100,38,1,1,0,71.0,1,0,True,False,False,False,False,False
101,30,0,1,0,68.0,1,0,True,False,False,False,False,False
102,41,0,1,2,69.0,1,0,True,False,False,False,False,False
103,39,0,1,1,70.0,1,0,False,False,False,True,False,False
104,31,1,1,0,63.0,0,0,True,False,False,False,False,False
105,42,0,1,0,65.0,0,0,True,False,False,False,False,False
106,45,0,1,0,64.0,0,0,True,False,False,False,False,False
107,21,0,1,0,72.0,1,0,True,False,False,False,False,False
108,28,1,1,0,64.0,0,0,True,False,False,False,False,False
109,29,0,1,0,66.0,1,0,True,False,False,False,False,False
110,36,1,1,0,68.0,1,0,True,False,False,False,False,False
111,28,0,1,0,71.0,1,0,True,False,False,False,False,False
112,24,0,1,0,74.0,1,0,True,False,False,False,False,False
113,23,2,1,0,66.0,0,1,True,False,False,False,False,False
114,36,0,2,1,70.0,1,0,True,False,False,False,False,False
115,35,1,1,0,72.0,1,1,True,False,False,False,False,False
116,18,2,1,0,68.0,1,0,True,False,False,False,False,False
117,55,0,0,0,67.0,1,0,True,False,False,False,False,False
118,21,1,0,0,65.0,0,0,False,False,False,False,False,True
119,28,1,1,0,66.0,0,0,True,False,False,False,False,False
120,24,1,1,0,71.0,1,0,True,False,False,False,False,False
121,50,0,1,0,75.0,1,0,True,False,False,False,False,False
122,23,0,1,1,66.0,1,1,True,False,False,False,False,False
123,21,1,1,2,70.0,1,1,True,False,False,False,False,False
124,27,2,1,0,62.0,0,0,True,False,False,False,False,False
125,27,0,1,0,68.0,1,0,True,False,False,False,False,False
126,43,1,1,0,73.0,1,0,True,False,False,False,False,False
127,27,0,1,1,68.0,1,0,True,False,False,False,False,False
128,26,1,2,0,71.0,1,1,True,False,False,False,False,False
129,26,1,1,0,66.0,1,0,True,False,False,False,False,False
130,30,1,1,1,69.0,1,0,True,False,False,False,False,False
131,32,2,1,0,68.0,0,1,False,False,False,False,False,True
132,43,2,1,1,68.0,0,0,False,False,False,False,False,True
133,39,1,1,0,68.0,0,0,True,False,False,False,False,False
134,22,0,1,0,68.0,1,0,True,False,False,False,False,False
135,33,0,1,0,67.0,0,0,True,False,False,False,False,False
136,24,1,1,0,75.0,1,1,False,False,False,False,True,False
137,50,1,2,0,73.0,1,0,True,False,False,False,False,False
138,32,1,0,0,67.0,1,0,True,False,False,False,False,False
139,23,0,1,0,73.0,1,0,True,False,False,False,False,False
140,32,0,1,0,62.0,0,0,True,False,False,False,False,False
141,59,0,1,0,73.0,1,0,True,False,False,False,False,False
142,36,0,2,1,73.0,1,0,True,False,False,False,False,False
143,29,0,1,0,74.0,1,0,True,False,False,False,False,False
144,39,0,1,1,63.0,0,0,True,False,False,False,False,False
145,24,1,1,0,67.0,1,0,True,False,False,False,False,False
146,28,1,2,2,70.0,1,0,True,False,False,False,False,False
147,50,0,1,0,66.0,1,0,True,False,False,False,False,False
148,32,0,1,0,64.0,0,0,True,False,False,False,False,False
149,41,0,1,0,67.0,0,0,True,False,False,False,False,False
150,50,1,1,0,63.0,0,0,False,False,False,False,False,True
151,44,1,1,0,68.0,1,0,True,False,False,False,False,False
152,48,1,1,1,68.0,1,0,True,False,False,False,False,False
153,24,1,1,1,75.0,1,1,True,False,False,False,False,False
154,26,0,0,0,73.0,1,0,True,False,False,False,False,False
155,29,1,1,0,61.0,0,0,True,False,False,False,False,False
156,40,2,1,0,62.0,0,0,True,False,False,False,False,False
157,29,1,1,0,68.0,0,0,False,False,False,False,False,True
158,54,2,1,0,69.0,0,0,True,False,False,False,False,False
159,20,0,1,0,63.0,0,0,True,False,False,False,False,False
160,51,1,1,0,62.0,0,0,True,False,False,False,False,False
161,33,1,1,0,66.0,0,0,True,False,False,False,False,False
162,28,0,1,0,66.0,1,0,True,False,False,False,False,False
163,37,0,1,0,66.0,0,0,True,False,False,False,False,False
164,20,1,1,0,72.0,1,0,True,False,False,False,False,False
165,30,2,1,1,74.0,1,0,True,False,False,False,False,False
166,36,0,1,0,72.0,1,0,True,False,False,False,False,False
167,26,2,1,0,63.0,0,0,True,False,False,False,False,False
168,26,0,1,0,68.0,0,0,True,False,False,False,False,False
169,33,1,1,0,66.0,0,0,True,False,False,False,False,False
170,20,1,1,0,66.0,0,0,True,False,False,False,False,False
171,31,0,1,0,70.0,1,0,False,False,False,True,False,False
172,62,0,1,0,73.0,1,0,True,False,False,False,False,False
173,33,0,1,0,63.0,0,0,True,False,False,False,False,False
174,22,2,1,0,69.0,1,1,True,False,False,False,False,False
175,46,0,1,0,66.0,1,0,True,False,False,False,False,False
176,27,0,1,0,68.0,1,0,True,False,False,False,False,False
177,29,2,2,0,72.0,1,1,False,True,False,False,False,False
178,36,1,1,0,68.0,0,0,False,False,False,False,False,True
179,25,2,2,1,71.0,1,1,True,False,False,False,False,False
180,32,0,1,0,69.0,1,0,True,False,False,False,False,False
181,21,0,1,0,66.0,0,0,True,False,False,False,False,False
182,27,2,2,0,68.0,0,0,True,False,False,False,False,False
183,38,0,0,0,70.0,1,0,True,False,False,False,False,False
184,27,1,0,0,74.0,1,0,True,False,False,False,False,False
185,44,0,1,0,63.0,0,0,True,False,False,False,False,False
186,52,0,2,0,66.0,0,0,True,False,False,False,False,False
187,33,0,1,0,60.0,0,0,True,False,False,False,False,False
188,28,0,1,0,67.0,0,0,True,False,False,False,False,False
189,37,0,0,0,79.0,1,0,True,False,False,False,False,False
190,28,1,1,0,61.0,0,0,False,False,False,False,False,True
191,32,1,1,0,69.0,1,0,True,False,False,False,False,False
192,29,2,2,1,69.0,0,1,True,False,False,False,False,False
193,31,0,1,0,67.0,1,0,False,False,False,False,False,True
194,42,0,1,0,71.0,1,0,True,False,False,False,False,False
195,32,2,1,0,63.0,0,1,True,False,False,False,False,False
196,28,0,1,1,67.0,1,1,True,False,False,False,False,False
197,38,0,1,1,63.0,0,0,True,False,False,False,False,False
198,27,1,1,0,64.0,0,0,True,False,False,False,False,False
199,19,2,1,0,62.0,0,0,True,False,False,False,False,False
200,27,0,1,0,65.0,0,0,True,False,False,False,False,False
201,28,0,1,0,67.0,1,0,True,False,False,False,False,False
202,29,0,1,0,66.0,0,0,True,False,False,False,False,False
203,31,0,1,0,63.0,0,1,True,False,False,False,False,False
204,27,1,1,0,63.0,0,0,True,False,False,False,False,False
205,43,2,1,0,69.0,0,0,True,False,False,False,False,False
206,43,1,1,0,71.0,1,1,True,False,False,False,False,False
207,24,0,2,0,69.0,0,0,True,False,False,False,False,False
208,34,0,1,1,67.0,0,0,True,False,False,False,False,False
209,30,1,1,0,66.0,0,0,True,False,False,False,False,False
210,59,2,1,0,62.0,0,0,True,False,False,False,False,False
211,33,1,1,0,72.0,1,0,True,False,False,False,False,False
212,41,1,1,0,69.0,1,0,True,False,False,False,False,False
213,58,1,1,1,69.0,1,0,True,False,False,False,False,False
214,24,1,1,0,59.0,0,1,False,False,False,False,False,True
215,39,1,0,0,74.0,1,0,True,False,False,False,False,False
216,33,0,2,1,70.0,1,0,True,False,False,False,False,False
217,43,1,1,0,65.0,0,0,True,False,False,False,False,False
218,29,1,1,1,70.0,1,0,True,False,False,False,False,False
219,28,1,1,0,66.0,0,0,True,False,False,False,False,False
220,21,2,0,0,70.0,1,0,True,False,False,False,False,False
221,35,0,1,0,64.0,0,0,True,False,False,False,False,False
222,32,0,1,0,69.0,1,1,True,False,False,False,False,False
223,42,0,1,0,63.0,0,0,True,False,False,False,False,False
224,23,2,2,1,62.0,0,0,True,False,False,False,False,False
225,30,1,1,0,68.0,0,0,True,False,False,False,False,False
226,27,0,0,0,71.0,1,1,True,False,False,False,False,False
227,41,0,0,0,71.0,0,0,True,False,False,False,False,False
228,33,2,1,0,69.0,1,0,True,False,False,False,False,False
229,58,0,1,0,70.0,0,0,True,False,False,False,False,False
230,26,0,1,0,72.0,1,1,True,False,False,False,False,False
231,50,1,1,0,66.0,0,0,True,False,False,False,False,False
232,45,0,1,0,65.0,0,0,True,False,False,False,False,False
233,66,0,1,0,65.0,0,0,True,False,False,False,False,False
234,33,1,1,0,68.0,1,0,True,False,False,False,False,False
235,32,2,1,0,68.0,1,0,True,False,False,False,False,False
236,53,0,1,1,62.0,0,1,True,False,False,False,False,False
237,28,1,1,0,72.0,1,1,True,False,False,False,False,False
238,22,1,1,0,63.0,0,0,False,False,False,False,False,True
239,19,1,1,1,73.0,1,0,True,False,False,False,False,False
240,35,1,1,0,67.0,1,0,False,False,False,True,False,False
241,51,0,1,0,65.0,0,0,True,False,False,False,False,False
242,30,1,1,0,69.0,1,0,True,False,False,False,False,False
243,29,0,1,0,80.0,1,0,False,False,False,True,False,False
244,32,0,2,1,61.0,0,0,True,False,False,False,False,False
245,45,2,1,0,63.0,0,0,True,False,False,False,False,False
246,28,0,1,1,73.0,1,0,True,False,False,False,False,False
247,36,1,1,0,63.0,0,0,True,False,False,False,False,False
248,40,2,1,0,71.0,1,0,True,False,False,False,False,False
249,34,1,1,0,62.0,0,1,True,False,False,False,False,False
250,24,2,1,0,68.0,0,0,True,False,False,False,False,False
251,39,1,1,0,72.0,1,1,True,False,False,False,False,False
252,33,0,1,0,65.0,0,0,True,False,False,False,False,False
253,26,2,2,1,67.0,0,0,True,False,False,False,False,False
254,36,0,1,1,67.0,1,0,True,False,False,False,False,False
255,46,0,1,0,68.0,1,0,True,False,False,False,False,False
256,21,1,1,0,67.0,1,0,True,False,False,False,False,False
257,63,1,1,0,67.0,0,0,True,False,False,False,False,False
258,30,1,1,0,62.0,0,0,True,False,False,False,False,False
259,50,1,1,0,63.0,0,0,True,False,False,False,False,False
260,50,1,1,0,64.0,0,0,True,False,False,False,False,False
261,34,1,1,0,72.0,1,0,True,False,False,False,False,False
262,40,1,1,0,62.0,0,0,True,False,False,False,False,False
263,46,1,1,0,66.0,0,0,True,False,False,False,False,False
264,41,0,1,0,67.0,1,1,True,False,False,False,False,False
265,29,0,1,0,62.0,0,0,True,False,False,False,False,False
266,53,1,1,0,69.0,0,0,False,False,False,True,False,False
267,39,0,1,0,69.0,1,0,False,False,False,False,False,True
268,39,2,1,0,64.0,0,0,True,False,False,False,False,False
269,24,1,1,0,62.0,0,0,True,False,False,False,False,False
270,26,0,1,0,70.0,1,0,True,False,False,False,False,False
271,25,0,1,1,64.0,0,0,True,False,False,False,False,False
272,59,1,0,0,63.0,0,0,True,False,False,False,False,False
273,28,2,1,0,67.0,0,1,True,False,False,False,False,False
274,29,0,2,1,68.0,1,1,True,False,False,False,False,False
275,35,1,1,0,67.0,1,0,True,False,False,False,False,False
276,25,2,1,0,65.0,0,1,True,False,False,False,False,False
277,36,0,1,0,67.0,0,0,True,False,False,False,False,False
278,42,0,1,1,64.0,0,0,True,False,False,False,False,False
279,25,0,1,0,71.0,0,0,True,False,False,False,False,False
280,27,0,1,0,80.0,1,0,True,False,False,False,False,False
281,45,1,1,0,60.0,0,0,False,False,False,True,False,False
282,37,0,1,0,71.0,1,0,True,False,False,False,False,False
283,47,1,1,0,69.0,1,0,True,False,False,False,False,False
284,24,2,1,0,67.0,0,0,True,False,False,False,False,False
285,53,2,0,0,64.0,0,0,True,False,False,False,False,False
286,26,2,1,0,62.0,0,1,True,False,False,False,False,False
287,49,1,1,1,63.0,0,0,False,False,False,False,False,True
288,24,1,1,0,61.0,0,0,True,False,False,False,False,False
289,19,0,2,1,69.0,1,0,True,False,False,False,False,False
290,26,2,1,0,76.0,1,0,False,False,False,True,False,False
291,30,0,1,2,70.0,1,0,True,False,False,False,False,False
292,26,0,1,1,72.0,1,0,False,False,False,False,False,True
293,36,0,1,0,63.0,0,0,True,False,False,False,False,False
294,24,0,1,1,69.0,1,1,True,False,False,False,False,False
295,47,1,0,0,72.0,1,1,True,False,False,False,False,False
296,51,0,1,0,70.0,1,0,True,False,False,False,False,False
297,28,0,1,0,73.0,1,0,True,False,False,False,False,False
298,48,1,1,0,62.0,0,0,False,False,False,False,False,True
299,37,2,1,1,62.0,0,0,True,False,False,False,False,False
300,47,0,0,0,72.0,1,0,True,False,False,False,False,False
301,34,2,1,1,66.0,0,1,True,False,False,False,False,False
302,37,0,2,1,65.0,0,1,True,False,False,False,False,False
303,25,0,1,1,70.0,1,1,True,False,False,False,False,False
304,32,0,1,0,71.0,1,0,True,False,False,False,False,False
305,42,0,1,0,71.0,0,0,True,False,False,False,False,False
306,33,1,1,0,64.0,0,0,True,False,False,False,False,False
307,34,0,1,1,63.0,0,0,True,False,False,False,False,False
308,42,1,1,1,75.0,1,1,False,False,False,True,False,False
309,29,0,1,0,70.0,1,0,True,False,False,False,False,False
310,55,1,1,0,73.0,1,0,True,False,False,False,False,False
311,32,0,1,0,68.0,1,0,True,False,False,False,False,False
312,25,0,1,0,69.0,1,0,True,False,False,False,False,False
313,31,1,0,0,64.0,0,0,False,False,False,False,False,True
314,45,0,1,0,68.0,1,0,True,False,False,False,False,False
315,39,1,0,0,68.0,0,0,True,False,False,False,False,False
316,50,0,1,0,74.0,1,0,True,False,False,False,False,False
317,29,2,1,0,61.0,0,0,False,False,False,False,False,True
318,50,1,0,0,66.0,0,0,True,False,False,False,False,False
319,43,1,1,0,62.0,0,0,True,False,False,False,False,False
320,63,2,1,1,67.0,0,0,True,False,False,False,False,False
321,35,0,1,0,72.0,1,0,False,False,False,False,False,True
322,19,1,1,1,67.0,0,1,False,False,False,False,False,True
323,62,1,1,0,64.0,0,0,True,False,False,False,False,False
324,44,0,1,0,68.0,0,0,True,False,False,False,False,False
325,30,0,1,0,63.0,0,0,True,False,False,False,False,False
326,24,0,1,0,69.0,1,0,False,False,False,False,False,True
327,40,2,0,0,68.0,0,0,True,False,False,False,False,False
328,63,1,1,0,65.0,0,0,True,False,False,False,False,False
329,45,0,1,0,66.0,1,0,True,False,False,False,False,False
330,53,1,1,0,62.0,0,0,True,False,False,False,False,False
331,36,0,1,0,72.0,1,0,True,False,False,False,False,False
332,22,0,1,1,70.0,1,1,True,False,False,False,False,False
333,19,0,0,0,69.0,1,0,True,False,False,False,False,False
334,32,1,1,0,64.0,0,0,True,False,False,False,False,False
335,61,1,1,0,63.0,0,1,True,False,False,False,False,False
336,20,1,1,0,60.0,0,0,True,False,False,False,False,False
337,34,0,1,0,65.0,0,0,True,False,False,False,False,False
338,34,0,1,0,67.0,0,0,True,False,False,False,False,False
