,body_type
53901,0
47657,0
21804,0
4686,0
32855,0
48458,0
16158,0
21764,0
51614,0
58970,0
17715,0
8546,0
23428,0
21107,0
55251,0
23436,0
56464,0
56694,0
43897,0
54529,0
51674,0
59371,0
23286,0
17031,0
43273,0
12751,1
59114,0
13229,0
39426,0
55828,1
15329,0
8659,0
41317,0
31102,0
20148,0
41571,0
29003,0
40226,0
1258,1
56078,0
52008,0
11979,0
56743,0
3036,0
25799,0
3910,0
28311,0
38009,0
37478,0
36169,0
43569,1
7605,1
13570,1
25976,0
47899,0
30714,0
39266,1
35805,1
57601,1
27046,0
3534,0
4969,0
40352,0
9425,0
49735,0
16477,0
7822,0
57151,1
16284,1
24696,0
44122,0
45410,0
18903,0
12875,0
26887,0
4215,0
41414,1
50121,0
5890,0
56218,0
42579,0
18764,0
54831,0
364,0
28643,1
1301,1
32050,1
17372,0
15701,0
5798,1
3948,0
11005,1
22931,0
59287,1
318,0
3709,0
59018,1
8287,0
11341,0
52003,0
10633,0
3339,0
46958,0
32690,0
14260,0
32361,0
47752,0
6741,0
47823,0
50166,0
36186,0
25156,0
55245,0
29983,0
228,1
34482,0
59713,0
42509,0
32703,0
46955,1
50679,0
58606,0
36037,0
35861,0
20560,0
44779,1
30207,0
55127,1
45943,1
28259,0
57441,0
48207,0
49138,0
47596,0
41955,0
54952,1
57393,0
1631,0
29008,0
8327,0
29200,0
36920,0
41855,0
31488,1
28735,0
21532,0
9856,0
46918,0
18887,0
25288,0
38236,1
5455,0
15262,0
49741,0
35701,0
18144,1
53415,0
29225,0
7120,0
2914,1
39337,0
12744,0
59476,0
38281,0
42244,0
44074,1
40829,0
18165,1
30502,0
28071,0
16203,0
50657,1
14610,0
54586,0
12548,0
40026,0
55142,0
23701,0
8118,0
53984,0
55752,0
56367,0
36128,0
7465,1
56043,0
49847,0
56341,0
30330,0
33991,0
53830,0
36760,0
27359,1
33367,0
27693,0
19309,0
38033,0
24145,1
45308,0
49073,1
40041,0
52200,1
5708,0
30725,1
22322,0
14153,0
45563,1
52612,0
25631,0
41514,0
50351,0
38486,1
6923,0
40060,0
23318,0
32312,0
47796,0
16200,0
40314,0
36257,0
838,1
3684,0
10223,0
38827,0
34835,0
14242,1
53168,0
19174,1
56340,0
9037,0
7315,0
5652,1
25090,0
51009,0
48690,0
30919,0
47169,1
58084,0
9953,0
51807,0
23413,0
42354,0
5404,0
19111,0
42087,0
17221,0
50661,0
16198,0
30417,0
21478,1
17290,1
21104,1
27390,1
22408,0
52833,0
46066,0
33641,0
15361,0
44401,0
58224,0
58826,0
58818,0
16101,0
6060,0
8951,0
40528,0
54296,0
8492,0
56501,0
30333,0
51876,0
37557,0
25684,0
55844,0
1203,0
41824,0
8108,0
34106,0
2250,0
41214,0
32686,0
54176,0
39271,1
38415,0
51441,0
52331,0
53279,0
12971,0
57890,1
1727,1
52991,0
43558,0
58568,0
15486,0
35340,0
46755,0
58844,1
57657,1
37864,0
530,0
10829,0
22566,0
28053,1
22413,0
7994,0
47353,0
14163,0
6571,0
9618,1
2567,0
6566,1
45814,0
22710,1
56256,0
40759,0
49004,0
7053,0
33778,0
28315,1
46266,0
19189,0
22245,0
11810,1
27892,0
56509,0
41346,0
35359,0
20139,0
21089,0
29410,0
4867,0
48197,0
46891,0
13686,0
47079,0
27402,0
9994,0
15745,0
49055,0
33942,0
49530,0
26874,0
16729,1
51229,0
6235,0
40560,0
41684,1
23587,0
21135,0
51422,0
10164,0
28029,0
36747,0
33386,0
38357,0
24099,0
30644,0
13462,0
793,1
51164,0
50053,0
28729,1
25176,0
21495,0
58601,0
38641,0
51112,0
59256,0
23281,0
24935,0
15957,0
28232,0
14484,0
31799,0
26305,1
29185,0
38764,0
5373,0
35189,0
26912,0
18911,0
36770,0
45019,0
39164,0
40477,0
30463,0
5446,0
27870,1
43999,0
25051,0
27847,0
3156,0
40939,0
56859,0
50423,1
5424,0
39168,0
18181,0
58647,1
37306,0
10513,0
13435,0
47159,0
34204,0
48107,1
35225,0
16122,0
11455,0
56575,0
30622,0
59853,0
25220,0
46259,1
1193,0
26979,0
2886,0
34340,1
17817,0
58005,0
56786,0
36658,0
54485,0
46611,0
10345,1
6429,0
21287,0
17548,0
3195,1
26519,0
38763,0
23452,0
45166,0
3192,1
52077,0
35065,0
52922,0
37348,0
14838,0
30171,0
25529,0
21778,0
40711,1
31803,0
22702,0
29754,0
22260,1
59115,0
1759,0
146,0
53645,0
39180,0
36451,0
2099,0
19513,0
5990,0
40691,0
53847,0
16209,0
23912,0
20590,0
21275,0
31071,0
58757,0
16818,0
23257,0
32487,0
26140,0
18215,0
13414,0
19075,1
9948,0
7488,0
47986,0
508,1
7436,0
46203,0
7526,0
2715,0
58083,0
50462,0
32620,0
25002,1
27462,0
46590,0
16250,0
55159,0
11611,1
52467,0
10906,0
17972,0
21907,1
740,1
39370,0
40095,0
36485,0
29374,0
11157,0
23782,0
1527,0
2210,0
36259,1
41531,0
54148,0
28288,0
39170,0
36282,0
37349,0
55917,0
41840,0
50315,0
40732,0
40526,0
17077,0
22308,0
29103,0
44689,0
34957,1
26947,1
57701,0
24927,0
22404,0
4542,0
55272,1
22516,0
50585,0
12926,0
6151,1
37953,0
24234,0
45301,1
5454,0
56305,0
48588,0
45431,0
16968,0
46121,1
7616,0
3825,0
28032,0
18977,0
28781,0
35318,0
3223,1
53424,0
23253,0
48015,0
37720,0
35075,0
31564,1
3160,0
30994,0
49595,0
49493,0
59317,1
4872,0
2227,0
16118,0
52450,0
18947,0
21640,0
30017,0
25297,0
31782,0
59755,1
25298,1
41618,0
53397,1
12949,0
48356,0
52205,1
14726,0
40578,0
29516,0
44511,1
18018,0
14487,0
29069,0
10333,0
44802,0
395,0
35350,0
18935,0
55600,0
20963,0
52394,0
33715,0
53106,0
23060,1
28984,0
51994,0
49145,0
37383,0
28191,0
44097,0
45501,0
13090,0
8426,0
32933,0
30946,0
42769,1
25121,0
5201,0
15236,1
8086,1
56260,0
42404,0
54682,0
29090,0
20656,1
12741,0
7426,0
39009,0
21517,0
22575,0
28469,0
33583,0
21453,1
6737,0
40245,0
47937,0
49064,0
18803,0
5129,0
21160,0
6411,0
7574,0
1942,0
3905,0
9616,0
58779,0
25582,0
9477,0
3189,0
32840,0
58214,0
17140,0
21168,0
35035,0
2641,1
18661,0
10068,0
19048,1
16758,0
16254,0
43441,0
3654,0
32560,0
39630,0
2302,0
54334,0
24547,1
20157,0
4334,0
59809,0
51478,0
19432,0
44449,0
8506,0
29170,0
52091,1
25286,0
52224,1
32166,0
46087,0
55301,0
40322,0
22411,0
8260,0
23272,0
24475,1
37390,0
15054,0
2964,0
35580,0
35702,1
31336,0
7007,0
41835,0
