iter	MultiClass
0	1.092914288
1	1.08749543
2	1.082719562
3	1.0782683
4	1.074328201
5	1.070643859
6	1.067501529
7	1.064447391
8	1.061610246
9	1.059336635
10	1.057128745
11	1.055062472
12	1.053009397
13	1.0513456
14	1.049765732
15	1.04835795
16	1.04703068
17	1.045801122
18	1.044662818
19	1.043649552
20	1.04273397
21	1.041873938
22	1.04124389
23	1.040442092
24	1.039600515
25	1.038896074
26	1.038275352
27	1.037774831
28	1.037265803
29	1.036767402
30	1.036284093
31	1.035785477
32	1.035384221
33	1.035098215
34	1.034710412
35	1.034340348
36	1.033956953
37	1.03363595
38	1.033295532
39	1.03294946
40	1.032689197
41	1.032426964
42	1.032258639
43	1.03202829
44	1.031777447
45	1.031550807
46	1.031332009
47	1.031232696
48	1.031100515
49	1.03087634
50	1.030779965
51	1.030613383
52	1.030374112
53	1.030179808
54	1.029959968
55	1.029861341
56	1.029760735
57	1.029599694
58	1.029477587
59	1.029352163
60	1.029290161
61	1.029178917
62	1.029096365
63	1.028925991
64	1.028863334
65	1.028762552
66	1.028681216
67	1.028600013
68	1.02850614
69	1.028425416
70	1.02836542
71	1.02827315
72	1.02821051
73	1.028049864
74	1.027986179
75	1.027930639
76	1.027858027
77	1.027746379
78	1.027646949
79	1.027547145
80	1.02742892
81	1.027374265
82	1.027292883
83	1.027232845
84	1.027167339
85	1.027127091
86	1.027059167
87	1.026976185
88	1.026921789
89	1.026880397
90	1.026817232
91	1.026745263
92	1.026635533
93	1.026590454
94	1.026546377
95	1.026479883
96	1.026441824
97	1.026392088
98	1.026333104
99	1.026291065
100	1.026257284
101	1.026174751
102	1.026141819
103	1.0261031
104	1.026032365
105	1.025968878
106	1.025927245
107	1.025881444
108	1.025796744
109	1.025746515
110	1.025678653
111	1.025628794
112	1.025583988
113	1.025513006
114	1.025480307
115	1.025436187
116	1.025381276
117	1.025341457
118	1.025300081
119	1.02522623
120	1.02519341
121	1.025117799
122	1.025068191
123	1.025024155
124	1.024952863
125	1.024922123
126	1.02486707
127	1.024826379
128	1.024773201
129	1.024749852
130	1.024718406
131	1.024674331
132	1.024646749
133	1.024637396
134	1.024612501
135	1.024565355
136	1.024526764
137	1.02448418
138	1.024450234
139	1.024427188
140	1.024380488
141	1.024351415
142	1.024301461
143	1.024238683
144	1.024207865
145	1.024146636
146	1.024087224
147	1.02404419
148	1.024011595
149	1.023971899
150	1.02392963
151	1.023888316
152	1.023844406
153	1.023801682
154	1.023735237
155	1.023712864
156	1.023673707
157	1.023635293
158	1.023617542
159	1.023593074
160	1.023562935
161	1.023539201
162	1.023515283
163	1.023482319
164	1.023431372
165	1.023393407
166	1.023342248
167	1.023315097
168	1.023280372
169	1.023248398
170	1.023208477
171	1.023173182
172	1.023123643
173	1.023095577
174	1.02304982
175	1.023010568
176	1.022957988
177	1.022900588
178	1.022877486
179	1.022847185
180	1.022837698
181	1.022798256
182	1.022756118
183	1.022724057
184	1.022703442
185	1.022666456
186	1.022618228
187	1.022584982
188	1.022560813
189	1.022534786
190	1.022505156
191	1.022457687
192	1.022418897
193	1.022385835
194	1.022361873
195	1.022344774
196	1.022299477
197	1.022278308
198	1.022201465
199	1.022140747
200	1.022118634
201	1.022092261
202	1.022059366
203	1.022025866
204	1.021985787
205	1.021957465
206	1.021928087
207	1.021883362
208	1.02184558
209	1.021824925
210	1.02178769
211	1.021767614
212	1.021715799
213	1.021678216
214	1.021613102
215	1.02154472
216	1.02149781
217	1.021466623
218	1.021429558
219	1.021408497
220	1.021349848
221	1.0213142
222	1.021293163
223	1.021243834
224	1.021213617
225	1.021182998
226	1.021106777
227	1.021055962
228	1.021013239
229	1.020972689
230	1.020945377
231	1.020894182
232	1.020861369
233	1.020816193
234	1.020792424
235	1.020713662
236	1.020646342
237	1.020606226
238	1.020536377
239	1.020492916
240	1.020448204
241	1.0204165
242	1.020349274
243	1.020293872
244	1.020244246
245	1.02020577
246	1.020114214
247	1.020075477
248	1.020037579
249	1.020013708
250	1.019982456
251	1.019954803
252	1.019904838
253	1.0198498
254	1.019816021
255	1.019794944
256	1.019737696
257	1.019713355
258	1.019673401
259	1.019633805
260	1.019613435
261	1.019526817
262	1.019490306
263	1.019461285
264	1.019422519
265	1.019375446
266	1.019323543
267	1.01928994
268	1.019217243
269	1.019174008
270	1.0191266
271	1.01908283
272	1.019030994
273	1.019015698
274	1.018957583
275	1.018925225
276	1.018866575
277	1.018785515
278	1.018724295
279	1.018679212
280	1.01862016
281	1.018591858
282	1.018546223
283	1.018509313
284	1.018465652
285	1.018441429
286	1.018395272
287	1.018364666
288	1.018283563
289	1.018244181
290	1.018204869
291	1.018164476
292	1.018118856
293	1.01807944
294	1.018046109
295	1.017998382
296	1.017967834
297	1.017917989
298	1.017852963
299	1.017820716
300	1.017767186
301	1.017731825
302	1.017681601
303	1.017615063
304	1.017555994
305	1.017523099
306	1.017486326
307	1.01746395
308	1.017419814
309	1.017371407
310	1.017309043
311	1.01726975
312	1.017218979
313	1.017186006
314	1.017152773
315	1.017095171
316	1.017049027
317	1.017010572
318	1.01695444
319	1.016908956
320	1.016871269
321	1.016846461
322	1.01679167
323	1.016746066
324	1.016693291
325	1.01663207
326	1.016577772
327	1.016532614
328	1.016503062
329	1.016444816
330	1.016375537
331	1.016350107
332	1.016318164
333	1.016284743
334	1.0162451
335	1.016223702
336	1.01618189
337	1.016150469
338	1.016116349
339	1.016087639
340	1.016046647
341	1.016011462
342	1.015962497
343	1.015951155
344	1.015908497
345	1.015868684
346	1.015844098
347	1.015798032
348	1.015736558
349	1.015708667
350	1.015678092
351	1.015615596
352	1.015581657
353	1.01552539
354	1.015509059
355	1.01547778
356	1.015431054
357	1.015402079
358	1.015355331
359	1.015322624
360	1.015280108
361	1.015252639
362	1.015213157
363	1.015171453
364	1.015140957
365	1.015100435
366	1.015071272
367	1.015023564
368	1.014973973
369	1.014890792
370	1.014845649
371	1.014810478
372	1.01477887
373	1.014748853
374	1.014716445
375	1.014678605
376	1.014626234
377	1.014576996
378	1.014535646
379	1.014500669
380	1.014474174
381	1.014440653
382	1.014394374
383	1.01436535
384	1.014336227
385	1.014315808
386	1.014293506
387	1.014264191
388	1.014239338
389	1.014208981
390	1.014154057
391	1.014122534
392	1.014084279
393	1.014047344
394	1.014000651
395	1.013963542
396	1.013912859
397	1.013851805
398	1.013820625
399	1.013778522
400	1.013750615
401	1.013710742
402	1.013639957
403	1.013609349
404	1.013563947
405	1.013531315
406	1.013493916
407	1.013481858
408	1.013455217
409	1.013416838
410	1.013382489
411	1.013355906
412	1.013313399
413	1.013266721
414	1.013229973
415	1.013194371
416	1.013157726
417	1.013125369
418	1.013096293
419	1.013052404
420	1.013002246
421	1.01294297
422	1.012920729
423	1.012880789
424	1.012853429
425	1.012829558
426	1.012802187
427	1.012768652
428	1.012734757
429	1.012698332
430	1.012668336
431	1.012635974
432	1.012598796
433	1.012576818
434	1.012547388
435	1.012516458
436	1.012463321
437	1.012420548
438	1.012375006
439	1.01233471
440	1.012300431
441	1.012255927
442	1.012229892
443	1.012211444
444	1.012177909
445	1.012138316
446	1.012107206
447	1.012075068
448	1.012048367
449	1.01203127
450	1.012012167
451	1.011986846
452	1.011946974
453	1.011928006
454	1.01189194
455	1.011859837
456	1.011830282
457	1.011804263
458	1.011784671
459	1.011746786
460	1.011721385
461	1.011674716
462	1.011636055
463	1.011616409
464	1.011580202
465	1.011557458
466	1.011533165
467	1.011516317
468	1.011492871
469	1.011449458
470	1.011375579
471	1.011349335
472	1.011325672
473	1.011288414
474	1.011261252
475	1.011223253
476	1.011197564
477	1.011181543
478	1.011151069
479	1.011107494
480	1.011073243
481	1.011046578
482	1.011020819
483	1.010988732
484	1.010963327
485	1.010922366
486	1.010884432
487	1.010863201
488	1.010826216
489	1.010809927
490	1.010780356
491	1.010753667
492	1.01072582
493	1.010700677
494	1.010650672
495	1.010617943
496	1.010591803
497	1.010580871
498	1.01054402
499	1.010512325
500	1.010486796
501	1.010465924
502	1.01044375
503	1.010410675
504	1.010376324
505	1.010352769
506	1.01031708
507	1.010267242
508	1.010226244
509	1.010208107
510	1.010181263
511	1.010158115
512	1.010110591
513	1.010057335
514	1.010042115
515	1.009999467
516	1.009979259
517	1.00994749
518	1.009904282
519	1.009877542
520	1.009850151
521	1.009822877
522	1.009783685
523	1.009760695
524	1.009724213
525	1.009658166
526	1.009620064
527	1.009597043
528	1.009578969
529	1.009556226
530	1.009531342
531	1.009501855
532	1.009463267
533	1.009437968
534	1.009386556
535	1.009346384
536	1.009303199
537	1.009253297
538	1.009214204
539	1.009186984
540	1.009158448
541	1.009128408
542	1.009109025
543	1.009071187
544	1.009032934
545	1.009012527
546	1.008985861
