iter	Passed	Remaining
0	27	27027
1	36	18411
2	44	14851
3	51	12825
4	58	11588
5	64	10620
6	68	9759
7	74	9277
8	81	8928
9	84	8379
10	90	8103
11	96	7966
12	102	7750
13	109	7726
14	116	7656
15	123	7574
16	130	7526
17	139	7596
18	146	7565
19	152	7470
20	158	7406
21	166	7404
22	170	7254
23	177	7225
24	182	7116
25	188	7053
26	194	7011
27	199	6930
28	206	6925
29	213	6893
30	218	6836
31	224	6793
32	231	6785
33	237	6756
34	244	6732
35	249	6678
36	255	6648
37	261	6613
38	266	6572
39	272	6532
40	277	6482
41	281	6426
42	287	6388
43	292	6349
44	296	6288
45	301	6253
46	306	6216
47	310	6167
48	316	6133
49	320	6091
50	325	6049
51	329	5998
52	334	5977
53	339	5951
54	344	5915
55	349	5886
56	353	5847
57	358	5825
58	363	5801
59	368	5778
60	373	5749
61	377	5708
62	382	5683
63	387	5662
64	391	5633
65	396	5614
66	401	5589
67	406	5577
68	411	5555
69	417	5544
70	422	5530
71	427	5513
72	433	5507
73	440	5509
74	447	5517
75	454	5524
76	459	5503
77	465	5505
78	471	5495
79	477	5489
80	484	5496
81	491	5500
82	498	5508
83	505	5515
84	512	5518
85	520	5526
86	526	5529
87	533	5531
88	539	5525
89	546	5525
90	552	5515
91	559	5519
92	568	5540
93	575	5546
94	582	5551
95	587	5535
96	594	5538
97	601	5534
98	607	5526
99	614	5527
100	619	5515
101	627	5521
102	635	5536
103	642	5532
104	647	5522
105	652	5504
106	658	5498
107	665	5498
108	672	5496
109	678	5492
110	683	5472
111	688	5458
112	693	5439
113	698	5426
114	702	5408
115	707	5393
116	712	5379
117	716	5356
118	721	5342
119	726	5329
120	730	5310
121	735	5295
122	740	5279
123	745	5264
124	749	5244
125	754	5232
126	759	5223
127	764	5210
128	772	5215
129	778	5208
130	783	5197
131	789	5192
132	796	5190
133	800	5172
134	806	5168
135	812	5162
136	818	5158
137	826	5160
138	831	5152
139	837	5144
140	843	5135
141	847	5121
142	852	5108
143	856	5094
144	860	5076
145	865	5064
146	870	5052
147	875	5038
148	879	5023
149	884	5010
150	888	4996
151	892	4980
152	897	4969
153	901	4954
154	906	4941
155	910	4924
156	915	4915
157	920	4907
158	924	4890
159	929	4877
160	933	4866
161	938	4853
162	942	4837
163	947	4827
164	952	4817
165	956	4804
166	960	4791
167	965	4782
168	970	4773
169	974	4760
170	980	4754
171	985	4744
172	989	4731
173	994	4721
174	999	4712
175	1004	4703
176	1009	4694
177	1014	4686
178	1019	4675
179	1023	4664
180	1028	4654
181	1033	4645
182	1037	4633
183	1042	4624
184	1047	4614
185	1052	4607
186	1057	4597
187	1062	4590
188	1067	4580
189	1071	4569
190	1077	4562
191	1082	4556
192	1086	4544
193	1091	4533
194	1095	4522
195	1101	4516
196	1105	4507
197	1111	4501
198	1116	4495
199	1120	4482
200	1125	4474
201	1130	4465
202	1134	4454
203	1139	4445
204	1143	4435
205	1148	4426
206	1152	4413
207	1156	4405
208	1161	4396
209	1166	4388
210	1171	4380
211	1176	4372
212	1180	4363
213	1184	4351
214	1189	4343
215	1194	4337
216	1199	4327
217	1204	4319
218	1209	4312
219	1213	4303
220	1217	4291
221	1222	4283
222	1226	4273
223	1231	4265
224	1235	4255
225	1240	4249
226	1245	4241
227	1249	4231
228	1255	4225
229	1259	4216
230	1263	4207
231	1268	4198
232	1272	4190
233	1277	4182
234	1281	4170
235	1286	4163
236	1290	4154
237	1295	4147
238	1299	4137
239	1305	4133
240	1309	4125
241	1313	4114
242	1318	4106
243	1322	4098
244	1327	4090
245	1331	4082
246	1337	4076
247	1341	4069
248	1346	4061
249	1351	4054
250	1356	4047
251	1361	4041
252	1367	4036
253	1372	4029
254	1377	4023
255	1381	4014
256	1386	4008
257	1391	4000
258	1394	3990
259	1399	3984
260	1404	3976
261	1409	3970
262	1414	3963
263	1418	3955
264	1423	3947
265	1427	3938
266	1432	3933
267	1437	3927
268	1442	3919
269	1447	3913
270	1452	3906
271	1457	3900
272	1461	3891
273	1466	3885
274	1471	3879
275	1475	3870
276	1480	3863
277	1486	3859
278	1490	3852
279	1495	3844
280	1500	3838
281	1504	3831
282	1508	3822
283	1514	3817
284	1519	3812
285	1523	3803
286	1528	3798
287	1533	3791
288	1538	3785
289	1543	3779
290	1548	3772
291	1563	3789
292	1568	3784
293	1572	3775
294	1576	3768
295	1581	3761
296	1586	3754
297	1590	3745
298	1595	3741
299	1600	3734
300	1604	3726
301	1609	3719
302	1613	3712
303	1618	3706
304	1623	3699
305	1628	3693
306	1633	3687
307	1637	3679
308	1642	3673
309	1646	3665
310	1651	3658
311	1655	3649
312	1660	3644
313	1665	3637
314	1669	3629
315	1673	3622
316	1678	3615
317	1682	3609
318	1686	3601
