,age,body_type,diet,drinks,drugs,height,sex,smokes
0,22,larger,anything,1,0,75.0,m,yes
1,35,average,other,2,1,70.0,m,no
2,38,average,anything,1,0,68.0,m,no
3,23,average,vegetarian,1,0,71.0,m,no
4,29,fit,anything,1,0,66.0,m,no
5,29,average,anything,1,0,67.0,m,no
6,32,fit,anything,1,0,65.0,f,no
7,31,average,anything,1,0,65.0,f,no
8,24,unknown,anything,1,1,67.0,f,yes
9,37,fit,anything,0,0,65.0,m,no
10,35,average,anything,1,0,70.0,m,no
11,28,average,anything,1,0,72.0,m,no
12,24,unknown,anything,2,0,72.0,m,no
13,30,average,anything,1,0,66.0,f,no
14,29,average,anything,1,0,62.0,f,no
15,39,fit,anything,1,0,65.0,f,no
16,33,fit,anything,1,1,70.0,m,yes
17,26,average,anything,1,0,64.0,f,no
18,31,average,vegetarian,1,0,71.0,m,no
19,33,fit,anything,1,0,72.0,m,no
20,27,average,anything,1,0,67.0,f,no
21,22,fit,anything,1,0,67.0,f,no
22,30,fit,anything,1,0,69.0,m,no
23,30,average,vegan,0,0,71.0,m,no
24,33,average,anything,1,1,73.0,m,yes
25,28,fit,anything,1,0,70.0,m,no
26,22,fit,anything,1,0,72.0,m,yes
27,22,average,anything,1,0,67.0,m,no
28,30,fit,anything,1,0,74.0,m,no
29,32,fit,anything,1,1,68.0,m,no
30,27,average,anything,1,0,64.0,f,yes
31,27,fit,anything,1,0,72.0,m,no
32,38,average,anything,1,0,67.0,f,no
33,20,average,vegetarian,1,0,60.0,f,no
34,27,average,anything,1,0,69.0,m,yes
35,26,fit,anything,1,0,69.0,m,yes
36,32,fit,anything,1,0,69.0,m,yes
37,25,fit,anything,1,0,69.0,m,no
38,27,larger,anything,1,0,63.0,f,no
39,35,fit,anything,1,0,74.0,m,no
40,30,average,anything,2,0,76.0,m,no
41,35,fit,anything,1,0,72.0,m,no
42,30,average,anything,2,1,75.0,m,no
43,40,fit,anything,1,1,71.0,m,no
44,29,larger,anything,1,1,66.0,f,no
45,27,average,anything,1,0,69.0,m,no
46,27,fit,anything,1,0,73.0,m,no
47,28,average,anything,2,1,70.0,m,no
48,31,average,anything,1,1,67.0,f,no
49,26,fit,anything,1,0,66.0,f,no
50,33,fit,anything,2,1,66.0,f,no
51,38,fit,anything,1,0,65.0,f,no
52,31,average,anything,1,0,69.0,m,no
53,36,fit,anything,1,0,69.0,m,no
54,33,fit,anything,1,0,69.0,m,no
55,33,fit,anything,1,0,70.0,m,no
56,26,fit,anything,1,0,71.0,m,no
57,21,average,anything,1,0,72.0,m,yes
58,22,fit,anything,1,1,70.0,m,yes
59,31,average,anything,1,0,71.0,m,yes
60,31,fit,anything,1,0,67.0,m,no
61,35,average,vegetarian,1,0,75.0,m,no
62,31,average,anything,1,1,70.0,m,yes
63,28,larger,vegetarian,1,1,67.0,f,yes
64,28,fit,anything,1,0,72.0,m,no
65,29,fit,vegetarian,1,0,68.0,m,no
66,22,fit,anything,1,0,65.0,m,no
67,30,average,anything,1,1,66.0,f,yes
68,31,average,anything,1,0,69.0,f,yes
69,29,average,anything,1,1,76.0,m,no
70,25,unknown,anything,1,0,62.0,f,no
71,33,fit,anything,1,0,67.0,f,no
72,35,fit,anything,1,1,73.0,m,no
73,31,larger,anything,1,0,61.0,f,no
74,28,fit,anything,1,0,72.0,m,no
75,29,larger,vegetarian,1,0,67.0,f,no
76,26,fit,anything,2,1,72.0,m,no
